"Category","Region","City","Ship_Mode","Real_Days","Sched_Days","Delay_Days","Profit","Sales"
Consumer Electronics,Southern Europe,Perugia,Second Class,3,2,1,-50.58000183,252.8800049
Consumer Electronics,Western Europe,Reims,Second Class,3,2,1,25.04000092,252.8800049
Consumer Electronics,Western Europe,Bremerhaven,Second Class,3,2,1,68.68000031,252.8800049
Consumer Electronics,Western Europe,Bielefeld,Second Class,6,2,4,78.08000183,252.8800049
Computers,Northern Europe,London,Second Class,5,2,3,595.3499756,1500.0
Computers,Northern Europe,Bradford,Second Class,5,2,3,55.79999924,1500.0
Consumer Electronics,Northern Europe,Oldham,Second Class,2,2,0,6.900000095,252.8800049
Consumer Electronics,Southern Europe,Madrid,Second Class,4,2,2,105.8600006,252.8800049
Computers,Western Europe,Nancy,Second Class,5,2,3,86.0,1500.0
Consumer Electronics,Western Europe,Laon,Second Class,6,2,4,22.76000023,252.8800049
Consumer Electronics,Western Europe,Pontault-Combault,Second Class,3,2,1,101.0299988,252.8800049
Consumer Electronics,Northern Europe,Edinburgh,Second Class,6,2,4,60.86999893,252.8800049
Consumer Electronics,Southern Europe,Acerra,Second Class,5,2,3,73.45999908,252.8800049
Consumer Electronics,Western Europe,Hanover,Second Class,5,2,3,39.88000107,252.8800049
Consumer Electronics,Western Europe,Wilhelmshaven,Second Class,6,2,4,62.20999908,252.8800049
Computers,Northern Europe,Letchworth,Second Class,5,2,3,90.0,1500.0
Electronics,Northern Europe,Aylesbury,Second Class,4,2,2,12.52999973,44.99000168
Electronics,Western Europe,Amsterdam,Second Class,4,2,2,10.03999996,44.99000168
Electronics,Southern Europe,Fuenlabrada,Standard Class,3,4,-1,65.83000183,139.9499969
Electronics,Western Europe,Viersen,Standard Class,5,4,1,52.43999863,159.9499969
Electronics,Western Europe,Montpellier,Second Class,2,2,0,0.0,127.9599991
Electronics,Northern Europe,Vantaa,Second Class,6,2,4,-1.389999986,27.98999977
Electronics,Western Europe,Tourcoing,Standard Class,3,4,-1,-69.87000275,127.9599991
Electronics,Eastern Europe,Lugansk,Standard Class,4,4,0,76.01999664,179.9600067
Electronics,Western Europe,Hamburgo,Standard Class,2,4,-2,22.84000015,159.9499969
Computers,Western Europe,Fontenay-aux-Roses,Standard Class,3,4,-1,82.41000366,1500.0
Consumer Electronics,Southern Europe,Monza,Standard Class,2,4,-2,118.8499985,252.8800049
Consumer Electronics,Southern Europe,Valladolid,Standard Class,4,4,0,79.66000366,252.8800049
Computers,Southern Europe,Madrid,Standard Class,2,4,-2,599.25,1500.0
Computers,Western Europe,Nieuwegein,Standard Class,5,4,1,410.8500061,1500.0
Consumer Electronics,Southern Europe,Florence,Second Class,4,2,2,-126.8199997,252.8800049
Computers,Western Europe,Viena,Second Class,6,2,4,281.25,1500.0
Electronics,Northern Europe,Birmingham,Standard Class,5,4,1,55.27999878,127.9599991
Electronics,Western Europe,Bayonne,Standard Class,4,4,0,56.09000015,207.9600067
Electronics,Eastern Europe,Sumy,Standard Class,4,4,0,-108.8300018,191.9600067
Electronics,Western Europe,Berl�n,Standard Class,4,4,0,32.58000183,111.9599991
Electronics,Northern Europe,London,Standard Class,6,4,2,37.93000031,207.9600067
Electronics,Western Europe,Halle,Standard Class,6,4,2,34.93000031,111.9599991
Electronics,Southern Europe,Barcelona,Standard Class,5,4,1,42.56000137,207.9600067
Electronics,Southern Europe,Brindisi,Standard Class,2,4,-2,44.15000153,127.9599991
Electronics,Western Europe,Nice,Standard Class,3,4,-1,92.47000122,259.9500122
Electronics,Eastern Europe,Liberec,Standard Class,6,4,2,12.81000042,159.9499969
Electronics,Southern Europe,Capua,Standard Class,6,4,2,33.59000015,159.9499969
Electronics,Eastern Europe,Kaluga,Standard Class,4,4,0,62.36000061,224.9499969
Electronics,Western Europe,Herne,First Class,2,1,1,56.15000153,207.9600067
Consumer Electronics,Western Europe,Langen,Same Day,1,0,1,59.83000183,252.8800049
Computers,Northern Europe,Northampton,Second Class,6,2,4,393.1199951,1500.0
Electronics,Southern Europe,Getafe,Standard Class,3,4,-1,44.79000092,159.9499969
Electronics,Western Europe,Hamburgo,Standard Class,4,4,0,-31.23999977,95.97000122
Electronics,Western Europe,Lille,Standard Class,3,4,-1,39.97000122,95.97000122
Electronics,Western Europe,Amberes,Standard Class,3,4,-1,39.79999924,155.9700012
Consumer Electronics,Northern Europe,London,First Class,2,1,1,70.80999756,252.8800049
Computers,Western Europe,Albi,First Class,2,1,1,114.8399963,1500.0
Electronics,Eastern Europe,Balti,First Class,2,1,1,15.76000023,63.97999954
Electronics,Northern Europe,Bradford,First Class,2,1,1,40.08000183,143.9700012
Electronics,Western Europe,Aachen,First Class,2,1,1,25.34000015,95.97000122
Electronics,Western Europe,Velbert,Standard Class,6,4,2,13.22999954,89.98000336
Electronics,Northern Europe,Wallasey,Standard Class,3,4,-1,-115.7600021,89.98000336
Electronics,Western Europe,Charleroi,Standard Class,3,4,-1,-364.9700012,155.9700012
